QuarterID,GameID,Number,Name,AwayScore,HomeScore
55848,14273,3,3,25,27
55849,14273,4,4,21,25
55850,14271,5,OT,14,6
55851,14274,1,1,28,22
55852,14275,1,1,25,39
55853,14274,2,2,34,33
55854,14274,3,3,34,23
55855,14274,4,4,34,29
55856,14275,2,2,32,23
55857,14275,3,3,25,30
55858,14275,4,4,27,24
55859,14278,1,1,30,29
55860,14278,2,2,21,30
55861,14278,3,3,37,26
55862,14278,4,4,25,25
55863,14276,1,1,29,22
55864,14276,2,2,34,26
55865,14276,3,3,23,35
55866,14276,4,4,24,17
55867,14280,1,1,35,29
55868,14280,2,2,29,33
55869,14280,3,3,26,33
55870,14280,4,4,37,19
55871,14277,1,1,24,15
55872,14277,2,2,20,25
55873,14277,3,3,15,10
55874,14277,4,4,24,23
55875,14282,1,1,29,22
55876,14282,2,2,27,27
55877,14282,3,3,28,37
55878,14282,4,4,22,28
55879,14279,1,1,33,29
55880,14279,2,2,32,29
55881,14279,3,3,37,23
55882,14279,4,4,22,36
55883,14281,1,1,20,32
55884,14281,2,2,25,22
55885,14281,3,3,27,26
55886,14281,4,4,31,21
55887,14283,1,1,28,18
55888,14283,2,2,16,30
55889,14283,3,3,34,32
55890,14283,4,4,31,29
55891,14283,5,OT,12,10
55892,14284,1,1,31,38
55893,14284,2,2,29,27
55894,14284,3,3,23,25
55895,14284,4,4,19,20
55896,14285,1,1,29,24
55897,14285,2,2,28,31
55898,14285,3,3,22,29
55899,14285,4,4,27,25
55900,14286,1,1,30,35
55901,14286,2,2,24,34
55902,14286,3,3,30,35
55903,14286,4,4,27,24
55904,14287,1,1,37,23
55905,14288,1,1,20,26
55906,14288,2,2,31,43
55907,14288,3,3,28,33
55908,14288,4,4,29,23
55909,14287,2,2,36,27
55910,14287,3,3,18,31
55911,14287,4,4,21,31
55912,14289,1,1,20,27
55913,14289,2,2,29,25
55914,14289,3,3,19,30
55915,14289,4,4,34,28
55916,14290,1,1,30,32
55917,14290,2,2,32,20
55918,14290,3,3,26,23
55919,14290,4,4,27,32
55920,14287,5,OT,10,6
55921,14291,1,1,24,30
55922,14291,2,2,34,27
55923,14291,3,3,41,27
55924,14291,4,4,31,35
55925,14292,1,1,20,33
55926,14292,2,2,24,26
55927,14292,3,3,22,13
55928,14292,4,4,19,35
55929,14293,1,1,24,25
55930,14293,2,2,31,23
55931,14293,3,3,27,30
55932,14293,4,4,19,18
55933,14294,1,1,23,28
55934,14294,2,2,20,29
55935,14294,3,3,23,26
55936,14294,4,4,23,26
55937,14295,1,1,22,33
55938,14295,2,2,29,34
55939,14295,3,3,33,20
55940,14295,4,4,21,24
55941,14296,1,1,26,18
55942,14296,2,2,25,24
55943,14296,3,3,28,17
55944,14296,4,4,21,20
55945,14297,1,1,43,31
55946,14297,2,2,24,30
55947,14297,3,3,29,30
55948,14297,4,4,37,28
55949,14298,1,1,29,37
55950,14298,2,2,25,29
55951,14298,3,3,30,38
55952,14298,4,4,29,29
55953,14301,1,1,37,16
55954,14301,2,2,31,33
55955,14301,3,3,22,33
55956,14301,4,4,16,27
55957,14302,1,1,32,36
55958,14302,2,2,26,37
55959,14302,3,3,28,22
55960,14302,4,4,25,23
55961,14299,1,1,35,21
55962,14299,2,2,37,32
55963,14299,3,3,17,30
55964,14299,4,4,18,26
55965,14300,1,1,36,22
55966,14300,2,2,23,34
55967,14300,3,3,27,20
55968,14300,4,4,34,40
55969,14303,1,1,25,33
55970,14303,2,2,34,34
55971,14303,3,3,31,21
55972,14303,4,4,21,22
55973,14304,1,1,28,24
55974,14304,2,2,24,26
55975,14304,3,3,24,28
55976,14304,4,4,26,27
55977,14305,1,1,21,26
55978,14305,2,2,26,27
55979,14305,3,3,32,27
55980,14305,4,4,23,30
55981,14306,1,1,27,41
55982,14306,2,2,26,36
55983,14306,3,3,31,32
55984,14306,4,4,36,34
55985,14307,1,1,21,21
